src_tgt,train_seed,f1_tgt,total_training_time,inference_time
wa1_ab,3000,0.6832320690155029,2100.2890079021454,0.02447509765625
ab_wa1,3000,0.5336531400680542,2060.4628987312317,0.013643026351928711
ds_da,3000,0.9605068564414978,3970.88032913208,0.025232791900634766
da_ds,3000,0.8717387318611145,2936.864690542221,0.015464544296264648
dzy_fz,3000,0.971623420715332,388.54046058654785,0.019005298614501953
fz_dzy,3000,0.9583016633987427,392.16985535621643,0.02060389518737793
ri_ab,3000,0.2268954962491989,480.7412762641907,0.018543004989624023
ri_wa1,3000,0.2384866178035736,494.77230858802795,0.013622045516967773
ia_da,3000,0.8876969218254089,528.3370010852814,0.014655590057373047
da_ia,3000,0.8647985458374023,1322.200217962265,0.0211181640625
ia_ds,3000,0.7570664882659912,881.736775636673,0.014931440353393555
ds_ia,3000,0.9482418894767761,2724.8965661525726,0.0230104923248291
b2_fz,3000,0.0,287.95453000068665,0.013831853866577148
fz_b2,3000,0.21196594834327698,334.5135600566864,0.01909780502319336
b2_dzy,3000,0.9433133602142334,290.7937595844269,0.014519691467285156
dzy_b2,3000,0.43259018659591675,332.75802540779114,0.023512840270996094
wa1_ab,1000,0.7316773533821106,2121.6547722816467,0.021257400512695312
ab_wa1,1000,0.46627333760261536,2080.1887657642365,0.016217708587646484
ds_da,1000,0.9601665735244751,4008.5162496566772,0.029734134674072266
da_ds,1000,0.9108895063400269,2927.924955368042,0.013471841812133789
dzy_fz,1000,0.9947090148925781,366.91186451911926,0.015230655670166016
fz_dzy,1000,0.9714953899383545,382.4919157028198,0.024080276489257812
ri_ab,1000,0.1922636777162552,477.1675069332123,0.013577461242675781
ri_wa1,1000,0.2205074280500412,498.93371772766113,0.014583110809326172
ia_da,1000,0.8918664455413818,532.1897130012512,0.014482259750366211
da_ia,1000,0.9415974617004395,1321.482780456543,0.027643680572509766
ia_ds,1000,0.7989267706871033,862.3934752941132,0.014860868453979492
ds_ia,1000,0.948468804359436,2719.4152824878693,0.022622108459472656
b2_fz,1000,0.0,280.7119810581207,0.02119159698486328
fz_b2,1000,0.2765262722969055,332.36372089385986,0.02196645736694336
b2_dzy,1000,0.9433133602142334,285.89882707595825,0.014757156372070312
dzy_b2,1000,0.4330812394618988,311.17852568626404,0.02417302131652832
wa1_ab,42,0.6450488567352295,2107.8339092731476,0.022997140884399414
ab_wa1,42,0.46828925609588623,2072.9701249599457,0.019121885299682617
ds_da,42,0.9597015976905823,4001.9968502521515,0.023367881774902344
da_ds,42,0.8358545899391174,2943.2004945278168,0.018250226974487305
dzy_fz,42,0.971623420715332,386.5220127105713,0.013876914978027344
fz_dzy,42,0.9741936326026917,389.20972418785095,0.02888965606689453
ri_ab,42,0.2603786289691925,485.62600779533386,0.019349336624145508
ri_wa1,42,0.2603747546672821,502.1684510707855,0.014585256576538086
ia_da,42,0.892483651638031,527.200692653656,0.02234959602355957
da_ia,42,0.9433686137199402,1327.439956188202,0.02134537696838379
ia_ds,42,0.8179647326469421,892.210874080658,0.0227968692779541
ds_ia,42,0.9079167246818542,2724.869159221649,0.022614240646362305
b2_fz,42,0.65975022315979,291.5449893474579,0.013889551162719727
fz_b2,42,0.5318157076835632,327.9715881347656,0.024418354034423828
b2_dzy,42,0.9179472923278809,293.2687358856201,0.013947010040283203
dzy_b2,42,0.37464219331741333,327.24093198776245,0.02710890769958496
computers_watches,3000,0.8248732686042786,835.4060797691345,0.02197861671447754
watches_computers,3000,0.796238124370575,759.5978000164032,0.021325111389160156
cameras_watches,3000,0.7389330863952637,681.21608543396,0.030975341796875
watches_cameras,3000,0.8258486986160278,695.2487046718597,0.023033857345581055
shoes_watches,3000,0.6633614301681519,691.3938601016998,0.021569252014160156
watches_shoes,3000,0.7139063477516174,710.9358785152435,0.02234959602355957
computers_shoes,3000,0.7118341326713562,786.729617357254,0.021924495697021484
shoes_computers,3000,0.6932309865951538,709.1449918746948,0.022164106369018555
cameras_shoes,3000,0.7005480527877808,648.808355808258,0.020984172821044922
shoes_cameras,3000,0.744159460067749,668.7996973991394,0.030672550201416016
computers_cameras,3000,0.8225929737091064,763.7961328029633,0.025893449783325195
cameras_computers,3000,0.7384916543960571,668.64528465271,0.021810293197631836
computers_watches,1000,0.8050344586372375,805.6426362991333,0.02210235595703125
watches_computers,1000,0.8252413868904114,756.3186259269714,0.022886276245117188
cameras_watches,1000,0.749061644077301,663.8667051792145,0.020913362503051758
