Pair,Seed,F1 Score,Training Time,Inference Time
wa1_ab,3000,0.7245652534776768,943.5232434272766,0.00026822835206985474
wa1_ab,1000,0.7664969590819812,946.2820162773132,0.0002709329128265381
wa1_ab,42,0.633879285855439,948.9878087043762,0.0002668127417564392
ab_wa1,3000,0.7205537750804769,1064.3613379001617,0.0002708733081817627
ab_wa1,1000,0.7528863384415129,1034.8862109184265,0.00026712566614151
ab_wa1,42,0.7170726689474016,1039.8752791881561,0.0002686530351638794
ds_da,3000,0.9605258140295766,1246.034507036209,0.0002686604857444763
ds_da,1000,0.9593847891018736,1231.1440925598145,0.0002696588635444641
ds_da,42,0.9658208872851153,1270.9480307102203,0.00027094781398773193
da_ds,3000,0.878322611911195,2151.067756652832,0.0002694353461265564
da_ds,1000,0.9194969398233761,2154.015390396118,0.0002688989043235779
da_ds,42,0.8964195471078936,2115.712265253067,0.000269964337348938
dzy_fz,3000,0.8799994720002768,89.74156141281128,0.00026857852935791016
dzy_fz,42,0.9361696749663144,91.70212936401367,0.00026685744524002075
dzy_fz,1000,0.468084737890717,90.99111413955688,0.0002690032124519348
fz_dzy,42,0.0,86.36240291595459,0.0002679973840713501
fz_dzy,3000,0.0,85.3011691570282,0.0002664327621459961
fz_dzy,1000,0.0,84.85309171676636,0.0002678409218788147
ri_ab,42,0.0,139.02690172195435,0.0002655908465385437
ri_ab,3000,0.009661826040281079,158.66752243041992,0.00027382373809814453
ri_ab,1000,0.0,152.0484139919281,0.00027086585760116577
ab_ri,1000,0.46153805029618605,59.681543827056885,0.00028192251920700073
ab_ri,42,0.8974353747537306,60.62057828903198,0.0002633333206176758
ab_ri,3000,0.0,59.840636014938354,0.0002697259187698364
ri_wa1,3000,0.0,170.9117968082428,0.00027154386043548584
ri_wa1,42,0.0,156.85858869552612,0.0002675577998161316
ri_wa1,1000,0.0,184.50623321533203,0.0002667456865310669
wa1_ri,1000,0.05128199868507828,59.06205773353577,0.00027123838663101196
wa1_ri,3000,0.9487174247208425,60.39172887802124,0.0002671927213668823
wa1_ri,42,0.8732389145013753,60.057698011398315,0.000279746949672699
ia_da,3000,0.7669371879542657,168.48460841178894,0.00026707351207733154
ia_da,1000,0.0,210.14495420455933,0.0002749338746070862
ia_da,42,0.8973742013092234,185.33246302604675,0.0002666488289833069
da_ia,42,0.7499994765628236,54.42698907852173,0.00026423484086990356
da_ia,3000,0.1999998066667869,53.27106595039368,0.0002724677324295044
da_ia,1000,0.07142849744898479,52.70230197906494,0.00026693195104599
ia_ds,42,0.10451717268165533,325.1016855239868,0.0002736970782279968
ia_ds,3000,0.0055917931086633624,286.13113808631897,0.00027266889810562134
ia_ds,1000,0.2090299114804656,363.3614044189453,0.000272408127784729
